id,label
1,1
2,1
3,1
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,1
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,1
21,1
22,0
23,0
24,1
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,1
96,0
97,1
98,1
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,0
123,0
124,0
125,0
126,1
127,1
128,0
129,0
130,1
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,1
161,1
162,0
163,0
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,1
172,1
173,1
174,0
175,0
176,1
177,0
178,1
179,0
180,1
181,1
182,0
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,0
199,0
200,0
201,1
202,1
203,1
204,0
205,1
206,1
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,0
226,0
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,0
275,0
276,1
277,1
278,0
279,1
280,1
281,0
282,1
283,0
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,0
348,1
349,1
350,1
351,0
352,0
353,0
354,0
355,0
356,1
357,0
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,0
375,1
376,0
377,1
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,1
386,0
387,1
388,1
389,0
390,1
391,1
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,1
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,1
419,0
420,0
421,1
422,0
423,0
424,1
425,0
426,0
427,0
428,1
429,0
430,1
431,0
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,1
440,0
441,0
442,0
443,1
444,0
445,1
446,1
447,0
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,1
470,0
471,1
472,1
473,1
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,0
493,0
494,1
495,1
496,1
497,0
498,1
499,1
500,0
501,0
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,1
510,0
511,1
512,0
513,0
514,0
515,1
516,1
517,1
518,1
519,0
520,0
521,1
522,0
523,1
524,1
525,1
526,0
527,0
528,1
529,0
530,0
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,0
539,1
540,1
541,0
542,1
543,1
544,1
545,1
546,0
547,1
548,0
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,0
557,1
558,0
559,1
560,1
561,0
562,0
563,1
564,0
565,0
566,0
567,1
568,1
569,0
570,0
571,0
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,1
580,1
581,1
582,0
583,0
584,0
585,0
586,1
587,0
588,0
589,0
590,1
591,0
592,0
593,1
594,1
595,1
596,0
597,1
598,1
599,0
600,0
601,1
602,0
